index--p5bJXXpQgvPz6yvQMFiy,Mon,Tue,Wed,Thu,Fri,Sat,Sun,Phase,Schedule,Weekly_Threshold_Goal,Total_Stickers_Earned,Log_Timestamp
putting dirty clothes in hamper,1,1,1,1,1,0,0,Phase II,Fixed Ratio,15,37,2025-06-26T09:58:33.941952
put dirty dishes in sink/wash,0,1,0,1,0,1,0,Phase II,Fixed Ratio,15,37,2025-06-26T09:58:33.941952
put food back in refrigerator/cupboard,1,0,1,0,1,1,1,Phase II,Fixed Ratio,15,37,2025-06-26T09:58:33.941952
dust,0,1,0,1,0,0,0,Phase II,Fixed Ratio,15,37,2025-06-26T09:58:33.941952
vacuum,0,1,0,0,1,0,0,Phase II,Fixed Ratio,15,37,2025-06-26T09:58:33.941952
make the bed in morning,0,1,1,1,0,0,1,Phase II,Fixed Ratio,15,37,2025-06-26T09:58:33.941952
throw out/donate old clothes,0,0,0,0,0,0,0,Phase II,Fixed Ratio,15,37,2025-06-26T09:58:33.941952
turn lights off when leaving,0,1,1,0,1,0,1,Phase II,Fixed Ratio,15,37,2025-06-26T09:58:33.941952
pick up after self,0,1,1,1,1,1,1,Phase II,Fixed Ratio,15,37,2025-06-26T09:58:33.941952
put caps back on,1,1,0,1,0,1,0,Phase II,Fixed Ratio,15,37,2025-06-26T09:58:33.941952
close pantry doors,1,0,1,0,0,0,0,Phase II,Fixed Ratio,15,37,2025-06-26T09:58:33.941952
